"date","text","author","syllables","form"
2016-02-05,"winter solstice
i message my sons
dinner’s ready","Anna Maris",15,"free"
2016-02-03,"drifting clouds
what the trees don’t know
about the grasses","Anna Maris",13,"free"
2016-02-02,"cloudy skies
the other thing
she was about to do","Anna Maris",13,"free"
2016-02-01,"winter sun
in the cut down forest
a lone moose","Anna Maris",13,"free"
2016-01-31,"high speed train
along the railway line
wild apple trees","Anna Maris",14,"free"
2016-01-30,"home town
slowing down my pace
as I count lampposts","Alexey Andreev",14,"free"
2016-01-29,"looking at you
without the squint now
winter sun","Alexey Andreev",12,"free"
2016-01-28,"silent hour
a snowflake tiptoeing
on the window pane","Alexey Andreev",16,"free"
2016-01-27,"embracing
smell of tobacco
from the empty lift","Alexey Andreev",13,"free"
2016-01-26,"windy
your hair tells
everything","Alexey Andreev",9,"free"
2016-01-25,"two voids
clinking each other
christmas balls","Alexey Andreev",10,"free"
2016-01-24,"new year's eve
looking for batteries
among snow maidens","Alexey Andreev",15,"free"
2016-01-23,"soul searching
i punch all the buttons
in my new car","Sondra J. Byrnes",13,"free"
2016-01-22,"sighing
the narrative
of snow","Sondra J. Byrnes",9,"free"
2016-01-21,"morning chill
petroglyphs etched
with frost","Sondra J. Byrnes",10,"free"
2016-01-20,"first snow on the mountains
the ponderosa
appear","Sondra J. Byrnes",13,"free"
2016-01-19,"sandhill cranes
lifting off the bosque
the earth tilts","Sondra J. Byrnes",13,"free"
2016-01-18,"from window to window still snow","Sondra J. Byrnes",8,"free"
2016-01-17,"cutting me off
at the inbound lane
crescent moon","Sondra J. Byrnes",13,"free"
2016-01-16,"white on white—
snow buntings
rise from the mist ","Linda Pilarski",13,"free"
2016-01-15,"morning sun
the smell of rice tea
in an iron pot","Linda Pilarski",14,"free"
2016-01-14,"stiff fingers—
the warmth
of crackling flames","Linda Pilarski",10,"free"
2016-01-13,"past midnight—
on the lake
geese still squabble","Linda Pilarski",12,"free"
2016-01-12,"the smell of horses
on the trail
a cougar’s tracks","Linda Pilarski",12,"free"
2016-01-11,"wild cleft . . . 
the sough of wind
on sintered snow  ","Linda Pilarski",11,"free"
2016-01-10,"receding whistle
of the last train—
a cold trek home","Linda Pilarski",13,"free"
2016-01-09,"distant thunder
the crash of coins
in the beggar's bowl","Angela Leuck",13,"free"
2016-01-08,"in the musician's garden
weeds growing
con brio","Angela Leuck",12,"free"
2016-01-07,"last of the fall colour—
a black limousine
glides by","Angela Leuck",15,"free"
2016-01-06,"first oriole—
I follow its song
to a magnolia","Angela Leuck",14,"free"
2016-01-05,"my son skips
all the way to the park—
spring runoff","Angela Leuck",12,"free"
2016-01-04,"autumn
buzzing at my ear
last wasp","Angela Leuck",9,"free"
2016-01-03,"drought—
the garden gate
swings open","Angela Leuck",9,"free"
2016-01-02,"less so in winter black-headed gulls","Polona Oblak",9,"free"
2016-01-01,"happy hour
the shopping mall santa
takes off his suit","Polona Oblak",14,"free"
2015-12-31,"a moving van
stalls the traffic
morning frost","Polona Oblak",11,"free"
2015-12-30,"canal boat's interference rocking waterfowl","Polona Oblak",13,"free"
2015-12-29,"whatacrowdropped
sinksthe
river'sdarkness","Polona Oblak",11,"free"
2015-12-28,"collared doves cooing again the cold rain","Polona Oblak",11,"free"
2015-12-27,"flickering street light
from darkness to darkness
the flight of a bat","Polona Oblak",16,"free"
2015-12-26,"monsoon
you take my hand","Anna Maris",7,"free"
2015-12-25,"the conversation
grinds to a halt
peak oil","Anna Maris",11,"free"
2015-12-24,"fog
my own headlights
blinding me","Anna Maris",7,"free"
2015-12-23,"gale
the moorings
reinforced","Anna Maris",7,"free"
2015-12-22,"morning frost
she curls up
even smaller","Anna Maris",10,"free"
2015-12-21,"open sky
the sea claims the sand
under my feet","Anna Maris",12,"free"
2015-12-20,"first frost
water runs slowly
in the fountain","Anna Maris",11,"free"
2015-12-19,"first snow
the football field lines
slowly vanish","Alexey Andreev",12,"free"
2015-12-18,"home city
touching the inner side
of the bridge","Alexey Andreev",14,"free"
2015-12-17,"night cafe
my jacket on the back
of the next chair","Alexey Andreev",13,"free"
2015-12-16,"up their necks in ice
the leaves of grass
so green","Alexey Andreev",13,"free"
